key	en	de	pl	fr	nl
newStudy/tabs/studyDetails/physician	Physician	Arzt	Lekarz	Médecin	Arts
newStudy/tabs/studyDetails/refPhysician	Ref Physician	Überweisender Arzt	Lekarz kierujący	Médecin généraliste	verwijzende arts
newStudy/tabs/studyDetails/studyType	Study Type	Aufzeichnungstyp	Typ badania	Type d'examen	studie type
newStudy/tabs/studyDetails/indication	Indication	Indikation	Wskazanie	Indication	indicatie
newStudy/tabs/studyDetails/antirefluxMed	Antireflux Med.	Antireflux Medikation	Lek przeciwrefluksowy	Med. Antireflux	antireflux medicatie
newStudy/tabs/cancel	Cancel	Abbrechen	Anuluj	Annuler	afbreken
newStudy/tabs/save	Save	Speichern	Zapisz	Sauver	bewaren
retrieveStudy/title	Retrieve Study	Aufzeichnung aufrufen	Odzyskaj badanie	Récupérer un enregistrement	studie ophalen
retrieveStudy/selectFile	Select File	Datei aussuchen	Wybierz plik	Sélectionner ficher	selecteer file
retrieveStudy/change	Change	ändern	Zmień	Modifier	veranderen
retrieveStudy/remove	Remove	entfernen	Usuń	Supprimer	verwijderen
retrieveStudy/loading	Loading	Ladevorgang	Ładowanie	Chargement	laden
openStudy/title	Open Study	Aufzeichnung öffnen	Otwórz badanie	Ouvrir l'enregistrement	Open studie
openStudy/selectFile	Select File	Datei wählen	Wybierz plik	Sélectionner fichier	selecteer file
openStudy/change	Change	ändern	Zmień	Modifier	veranderen
openStudy/remove	Remove	entfernen	Usuń	Supprimer	verwijderen
openStudy/browse	Browse	Browse	Przeglądaj	Parcourir	zoeken
openStudy/loading	Loading	Ladevorgang	Ładowanie	Chargement	laden
chart/title	Patient Name	Patientenname	Nazwa pacjenta	Nom du patient	patiënt naam
chart/meal	Meal	Mahlzeit	Posiłek	Repas	maaltijd
chart/mealShort	Meal	Essen	Posiłek	Repas	eten
chart/supine	Supine	Rückenlage	Pozycja leżąca na plecach	Couché	rugligging
chart/supineShort	Supine	Rückenlage	Pozycja leżąca na plecach	Couché	rugligging
chart/cough	Cough	Husten	Kaszel	Toux	Hoesten
chart/heartburn	Heartburn	Sodbrennen	Zgaga	Brûlure d'estomac	brandend maagzuur
chart/custom	Custom	Benutzerdefiniert	Ustawienie użytkownika	Personnalisation	Gewoonte
chart/deleteMeals	Delete Meals	Mahlzeit löschen	Usuń posiłki	Effacer repas	maaltijden verwijderen
chart/undeleteMeals	Undelete Meals	Mahlzeit wieder herstellen	Przywróć posiłki	Remettre repas	Maaltijden niet verwijderen
chart/heartburnShort	HB	HB	HB	HB	HB
chart/all	 All	 Alle	Wszystko	Tout	alle
chart/dropdownAdd/tooltip	Add period to pH data in a range	markierte Periode hinzufügen	Dodaj okres do danych pH w zakresie	Ajouter une période aux données pH dans une plage	Toevoegen periode PH data in het bereik
chart/dropdownClear/tooltip	Clear periods from pH data in a range	markierte Periode entfernen	Wyczyść okres z danych pH w zakresie	Effacer des périodes des données pH dans une plage	Leeg maken van PH data in het bereik
chart/del/tooltip	Delete pH data and periods in a range	Löschen der markierten Periode	Wyczyść dane pH i okresy w zakresie	Supprimer des périodes des données pH dans une plage	Verwijder PH data and periode in het bereik
chart/undo/tooltip	Undo the last undoable command	Letzte Eingabe rückgängig machen	Cofnij ostatnią czynność	Annuler la dernière commande	De laatste opdracht wijzigen
chart/zoomIn/tooltip	Zoom in on pH data in selected range	Zoom in den markierten Bereich	Przybliż dane pH w wybranym zakresie	Agrandir les données pH dans la section sélectionnée	Inzoemen op de PH data in het geselecteerde bereik
chart/zoomOut/tooltip	Zoom out	Zoom aus	Oddal	Dézoomer	Uitzoomen
chart/adjustScale/tooltip	Adjust pH scale	pH Skala anpassen	Ustaw skalę pH	Ajuster l'échelle pH	Aanpassen van de PH waarde
reportPage/indication	Indication	Indikation	Wskazanie	Indication	indicatie
reportPage/antirefluxMed	Antireflux Med	Antireflux Medikation	Lek przeciwrefluksowy	Med. antireflux	antireflux medicatie
reportPage/studyDuration	Study Duration	Aufzeichnungsdauer	Czas trwania badania	Durée de l'examen	studie duur
reportPage/mealsRemoved	Meals Removed From Calculations	Mahlzeiten aus der Berechnung entfernt	Posiłki usunięte z obliczeń	Repas supprimés du calcul	maaltijden verwijdert van berekeningen
reportPage/lastName	Last Name	Nachname	Nazwisko	Nom	achternaam
reportPage/firstName	First Name	Vorname	Imię	Prénom	voornaam
reportPage/studyDate	Study Date	Aufzeichnungsdatum	Data badania	Date de l'examen	studie datum
reportPage/patientID	Patient #	Patienten ID	Nr pacjenta	Numéro patient	patiënt ID
reportPage/dob	D.O.B	Geburtstag	Data urodzenia	Date de naiss.	geboortedatum
reportPage/investigator	Investigator	Untersucher	Badacz	Examinateur	onderzoeker
reportPage/referredBy	Referred By	zugewiesen von	Skierowany przez	Prescrit par	verwezen door:
reportPage/technician	Technician	Ärztliche Hilfskraft	Technik/Operator	Technicien	Technicus
reportPage/eventCalculations	EVENT CALCULATIONS	Berechnung der Ereignisse	OBLICZENIA ZDARZENIA	Calcul des épisodes pH	gebeurtenis berekening
reportPage/totalTimeOfAllpHEvents	Total time of all pH events	Gesamtzeit aller pH Ereignisse	Całkowity czas wszystkich zdarzeń pH	Durée totale des épisodes pH	totale tijd van alle pH gebeurtenissen
reportPage/totalPercentpHBelowBaseline	Total % pH below baseline	Gesamt % pH unter Grenzwert	Całkowity % pH poniżej linii bazowej	% de durée totale en dessous du seuil	Totaal % pH beneden de basislijn
reportPage/totalTimepHBelowBaselineUpright	Total time below baseline pH, upright	Gesamtzeit unter pH Grenzwert, aufrecht	Całkowity czas poniżej wartości bazowej pH, pozycja stojąca	Durée totale en dessous du seuil, debout	Totale tijd pH beneden basislijn, rechtopstaand
reportPage/totalPercentpHBelowBaselineUpright	Total % pH below baseline, upright	Gesamt % pH unter Grenzwert, aufrecht	Całkowity % pH poniżej wartości bazowej, pozycja stojąca	% de durée totale debout, en dessous du seuil	Totaal % pH beneden de basislijn, rechtopstaand
reportPage/totalTimepHBelowBaselineSupine	Total time below baseline pH, supine	Gesamtzeit unter Grenzwert pH, liegend	Całkowity czas poniżej wartości bazowej pH, pozycja leżąca na plecach	Durée totale en dessous du seuil, couché	Totale tijd pH beneden basislijn, liggend
reportPage/totalPercentpHBelowBaselineSupine	Total % pH below baseline, supine	Gesamt % unter Grenzwert pH, liegend	Całkowity % pH poniżej wartości bazowej, pozycja leżąca na plecach	% de durée totale couché en dessous du seuil	Totaal % pH beneden de basislijn, liggend
reportPage/longestTimeEvent	Longest time of a pH Event	Längste Dauer eines pH Ereignisses	Najdłuższy czas zdarzenia pH	la plus longue durée d'épisode pH	Langste tijd van een pH gebeurtenis
reportPage/numberEventsGreaterThan5Minutes	Number of events > 5 minutes	Anzahl an Ereignissen > 5 Minuten	Liczba zdarzeń > 5 minut	Nombre d'épisodes > 5 minutes	Aantal gebeurtenissen > 5 minuten
reportPage/totalNumberOfEvents	Total Number of Events	Gesamtanzahl  der Ereignisse	Całkowita liczba zdarzeń	Nombre total d'épisodes	Totaal aantal gebeurtenissen
reportPage/symptomCorrelation	SYMPTOM CORRELATION	Symptom Korrelation	KORELACJA OBJAWU	Corrélation avec symptômes	Symptoom correlatie
reportPage/total	TOTAL	GESAMT	SUMA	Total  	Totaal
reportPage/cough	Cough	Husten	Kaszel	Toux	Hoesten
reportPage/heartburn	Heartburn	Sodbrennen	Zgaga	Brûlure d'estomac	brandend maagzuur
reportPage/patientsValue	Patients Value	Patienten Wert	Wartość pacjentów	Valeur patient	Patiënten waarde
reportPage/normalValue	Normal Value	Normaler Wert	Wartość normalna	Valeur normale	normaal waarde
reportPage/signature	Signature:	Unterschrift:	Podpis:	Signature	Handtekening
reportPage/notes	Notes	Notizen	Uwagi	Remarques	notitie
settingsPage/title	Settings	Einstellungen	Ustawienia	Réglages	instellingen
settingsPage/tabs/general/title	General	Allgemein	Ustawienia ogólne	Général	Algemeen
settingsPage/tabs/general/logo	Logo	Logo	Logo	Logo	logo
settingsPage/tabs/general/selectFile	Select File	Datei wählen	Wybierz plik	Choisir fichier	Selecteer file
settingsPage/tabs/general/change	Change	ändern	Zmień	Modifier	veranderen
settingsPage/tabs/general/remove	Remove	entfernen	Usuń	Supprimer	verwijderen
settingsPage/tabs/general/name	Name	Name	Nazwa	Nom	naam
settingsPage/tabs/general/address	Address	Adresse	Adres	Adresse	adres
settingsPage/tabs/general/city	City	Stadt	Miejscowość	Ville	woonplaats
settingsPage/tabs/general/state	State	Bundesland	Województwo	Pays	provincie
settingsPage/tabs/general/zip	Zip	Postleitzahl	Kod pocztowy	Code postal	postcode
settingsPage/tabs/general/phone	Phone	Telefon	Telefon	Téléphone	telefoon nummer
settingsPage/tabs/acidNormals/title	Acid Normals	Säure Normwerte	Wartości normalne kwasowości	Spécifications normatives	Zuur normaal
settingsPage/tabs/acidNormals/upright95	Upright95	Aufrecht95	Pozycja stojąca95	Debout 95	rechtopstaand95
settingsPage/tabs/acidNormals/supine95	Supine95	Liegen95	Pozycja leżąca na plecach95	Couché 95	liggend95
settingsPage/tabs/acidNormals/upright75	Upright75	Aufrecht75	Pozycja stojąca75	Debout 75	rechtopstaand75
settingsPage/tabs/acidNormals/supine75	Supine75	Liegen75	Pozycja leżąca na plecach75	Couché 75	liggend75
settingsPage/tabs/colors/title	Colors	Farben	Kolory	Couleurs	Kleur
settingsPage/tabs/colors/loadDefault	Load Default Colors	Laden Standard - Farben	Załaduj kolory domyślne	Charger couleurs par défaut	Laad standaard kleuren
settingsPage/tabs/colors/normal	Normal	Normal	Normalny	Normal	normaal
settingsPage/tabs/colors/mild	Mild	Mild	Łagodny	Léger	mild
settingsPage/tabs/colors/moderate	Moderate	mäßig	Umiarkowany	Modéré	matig
settingsPage/tabs/colors/severe	Severe	schwer	Ciężki	Sévère	ernstig
settingsPage/tabs/colors/meal	Meal	Mahlzeit	Posiłek	Repas	maaltijden
settingsPage/tabs/colors/supine	Supine	Rückenlage	Pozycja stojąca	Couché	liggend
settingsPage/tabs/colors/cough	Cough	Husten	Kaszel	Toux	hoesten
settingsPage/tabs/colors/heartburn	Heartburn	Sodbrennen	Zgaga	Brûlure d'estomac	brandend maagzuur
settingsPage/tabs/colors/symptom1	Symptom1	Symptome1	Objaw1	Symptôme 1	symptoom 1
settingsPage/tabs/colors/symptom2	Symptom2	Symptome2	Objaw2	Symptôme 2	symptoom 2
settingsPage/tabs/colors/symptom3	Symptom3	Symptome3	Objaw3	Symptôme 3	symptoom 3
settingsPage/tabs/eventSettings/title	Event Settings	Ereigniseinstellungen	Ustawienia zdarzenia	Réglages épisodes	gebeurtenis instellingen
settingsPage/tabs/eventSettings/minEventTime	Min Event Time	Ereigniszeit in Minuten	Minimalny czas zdarzenia	Durée minimale d'épisode	minus gebeurtenis tijd
settingsPage/tabs/eventSettings/endEventThreshold	End Event Threshold	Ende Grenzwert-Ereignis 	Próg zdarzenia końcowego	Seuil fin épisode	einde gebeurtenis drempel
settingsPage/tabs/pathToData/title	Path To Data	Daten-Pfad	Ścieżka do danych	Voie d'accès aux données	weg naar gegevens
settingsPage/tabs/pathToData/dirForDataFiles	Directory For Data Files	Verzeichnis für Datendateien	Katalog plików danych	Dossier pour fichiers de données	Directory voor data bestanden
settingsPage/tabs/cancel	Cancel	Abbrechen	Anuluj	Annuler	Afbreken
settingsPage/tabs/save	Save	Speichern	Zapisz	Sauver	Bewaren
settingsPage/helpModal/about	About	über	Informacje	A propos	Over
settingsPage/helpModal/licenseAgreement	License Agreement	Lizenzvereinbarung	Umowa licencyjna	Contrat de licence	Licentie overeenkomst
settingsPage/helpModal/userGuide	User Guide	Benutzerhandbuch	Przewodnik użytkownika	Manuel d'utilisation	Gebruiksaanwijzing
settingsPage/helpModal/demeesterRyanScore	DeMeester Ryan Score	DeMeester Ryan Score	Wynik w skali DeMeester Ryan	Score De Meester Ryan	DeMeester Ryan Score
settingsPage/helpModal/normativeDataChart	Normative Data Chart	Normative Daten Chart	Tablica danych normatywnych	Diagramme de données normatives	normatief gegevens grafiek
retrievingModal/title	Please wait	bitte warten	Proszę czekać	Patientez	Even geduld
retrievingModal/retrieving	Retrieving...	Abrufen...	Odzyskiwanie…	Chargement	Verkrijgen…
savingModal/title	Please wait	bitte warten	Proszę czekać	Patientez	Even geduld
aboutModal/title	About	über	Informacje	A propos	Over
aboutModal/message	This Product is licensed for use on a single site basis. Copying or redistributing this software is prohibited	Dieses Produkt ist für den Einsatz auf einer einzigen Seite lizenziert . Das Kopieren dieser Software und Weitervertrieb ist verboten	Ten produkt posiada licencję jednostanowiskową. Kopiowanie i dystrybucja tego programu jest zakazana.	Ce Produit fait l'objet d'une licence pour l'utilisation sur un seul site. La reproduction ou la redistribution de ce logiciel sont interdits	Dit product heeft een enkele locatie licentie. Kopiëren of herverdelen van deze software is verboden
aboutModal/version	Software Version	Softwareversion	Wersja oprogramowania	Version du logiciel	Software versie
userGuideModal/title	User Guide	Benutzerhandbuch	Przewodnik użytkownika	Manuel d'utilisation	Gebruiksaanwijzing
